id,province_id,name
1,1,"Bhojpur"
2,1,"Dhankuta"
3,1,"Ilam"
4,1,"Jhapa"
5,1,"Khotang"
6,1,"Morang"
7,1,"Okhaldhunga"
8,1,"Panchthar"
9,1,"Sankhuwasabha"
10,1,"Solukhumbu"
11,1,"Sunsari"
12,1,"Taplejung"
13,1,"Terhathum"
14,1,"Udayapur"
15,2,"Bara"
16,2,"Dhanusa"
17,2,"Mahottari"
18,2,"Parsa"
19,2,"Rautahat"
20,2,"Saptari"
21,2,"Sarlahi"
22,2,"Siraha"
23,3,"Bhaktapur"
24,3,"Chitwan"
25,3,"Dhading"
26,3,"Dolakha"
27,3,"Kathmandu"
28,3,"Kavrepalanchok"
29,3,"Lalitpur"
30,3,"Makwanpur"
31,3,"Nuwakot"
32,3,"Ramechhap"
33,3,"Rasuwa"
34,3,"Sindhuli"
35,3,"Sindhupalchok"
36,4,"Baglung"
37,4,"Gorkha"
38,4,"Kaski"
39,4,"Lamjung"
40,4,"Manang"
41,4,"Mustang"
42,4,"Myagdi"
43,4,"Nawalparasi East"
44,4,"Parbat"
45,4,"Syangja"
46,4,"Tanahun"
47,5,"Arghakhanchi"
48,5,"Banke"
49,5,"Bardiya"
50,5,"Dang"
51,5,"Gulmi"
52,5,"Kapilvastu"
53,5,"Nawalparasi West"
54,5,"Palpa"
55,5,"Pyuthan"
56,5,"Rolpa"
57,5,"Rukum East"
58,5,"Rupandehi"
59,6,"Dailekh"
60,6,"Dolpa"
61,6,"Humla"
62,6,"Jajarkot"
63,6,"Jumla"
64,6,"Kalikot"
65,6,"Mugu"
66,6,"Rukum West"
67,6,"Salyan"
68,6,"Surkhet"
69,7,"Achham"
70,7,"Baitadi"
71,7,"Bajhang"
72,7,"Bajura"
73,7,"Dadeldhura"
74,7,"Darchula"
75,7,"Doti"
76,7,"Kailali"
77,7,"Kanchanpur"
